compa_ratio,compa_ratio_range,cost_center,country,current_rating,ethnicity,gender,generation,high_performer,high_potential,hiring_source,is_leader,is_manager,job_family_group,job_level,job_profile,length_of_service,location,management_level,region,single_job_family,tenure_category,total_compensation,age
1.492,Above Compa-Ratio,AMER - Canada,Canada,5 - Outstanding Performance,Hispanic,Female,Generation Y/Millenials (1981-1996),True,False,Referral,False,False,Sales,P4,Sales - Direct Sales - Senior Direct Sales Representative,3.989,Toronto,Individual Contributor,AMER,Sales - Direct Sales,02-05 Years,164100,35.0
1.194,Above Compa-Ratio,Global Support - Asia/Pac,South Korea,1 - Unsatisfactory,Asian,Female,Generation Y/Millenials (1981-1996),False,False,Corporate Website,False,False,Development,P4,IT - Product Development - Senior QA,8.74,Seoul,Individual Contributor,APAC,IT - Product Development,05-10 Years,91900,35.0
0.99,At Compa-Ratio,AMER - Canada,Canada,1 - Unsatisfactory,Black or African American,Male,Generation Y/Millenials (1981-1996),False,False,Recruiter,False,False,Development,P2,IT - Product Development - P2 Software Engineer,3.967,Calgary,Individual Contributor,AMER,IT - Product Development,02-05 Years,66800,28.0
1.412,Above Compa-Ratio,Global Support - Asia/Pac,South Korea,1 - Unsatisfactory,Asian,Female,Generation Y/Millenials (1981-1996),False,False,Agency,False,False,Development,P3,IT - Product Development - P3 Business Analytics,3.753,Seoul,Individual Contributor,APAC,IT - Product Development,02-05 Years,76600,31.0
1.385,Above Compa-Ratio,AMER - Canada,Canada,3 - Meets Expectations,White,Female,Generation Y/Millenials (1981-1996),False,False,Linkedin,False,False,Sales,P4,Sales - Inside Sales - Senior Inside Sales Representative,11.381,Toronto,Individual Contributor,AMER,Sales - Inside Sales,10-15 Years,152300,35.0
1.258,Above Compa-Ratio,AMER - United States of America,United States of America,1 - Unsatisfactory,Asian,Female,Generation Y/Millenials (1981-1996),False,False,Recruiter,False,False,Services,P3,Human Resources - P3 Human Resources Consultant,1.03,San Francisco,Individual Contributor,AMER,Human Resources,01-02 Years,97500,29.0
1.049,At Compa-Ratio,EMEA - United Kingdom,United Kingdom,3 - Meets Expectations,White,Female,Generation Y/Millenials (1981-1996),False,False,Internal,False,False,Finance,P4,FA - Accounting - Senior Finance Analyst,8.899,London,Individual Contributor,EMEA,FA - Accounting,05-10 Years,92300,34.0
1.008,At Compa-Ratio,AMER - Canada,Canada,2 - Needs Improvement,White,Male,Generation Y/Millenials (1981-1996),False,False,Referral,False,False,Sales,P3,Sales - Direct Sales - P3 Direct Sales Representative,3.515,Montreal,Individual Contributor,AMER,Sales - Direct Sales,02-05 Years,78100,32.0
1.245,Above Compa-Ratio,AMER - Canada,Canada,2 - Needs Improvement,White,Female,Generation Y/Millenials (1981-1996),False,True,Referral,False,False,Sales,P3,Sales - Inside Sales - P3 Inside Sales Representative,8.271,Montreal,Individual Contributor,AMER,Sales - Inside Sales,05-10 Years,96500,33.0
1.458,Above Compa-Ratio,AMER - Canada,Canada,4 - Exceeds Expectations,Black or African American,Male,Generation X (1965-1980),False,False,Referral,True,True,Executive,M8,Executive Management - Executive Vice President,8.244,Toronto,Executive Vice President,AMER,Executive Management,05-10 Years,619700,44.0
0.996,At Compa-Ratio,AMER - United States of America,United States of America,1 - Unsatisfactory,White,Female,Generation Y/Millenials (1981-1996),False,False,Referral,False,False,Development,P2,IT - Product Development - P2 QA,4.447,San Francisco,Individual Contributor,AMER,IT - Product Development,02-05 Years,67200,27.0
1.405,Above Compa-Ratio,AMER - United States of America,United States of America,4 - Exceeds Expectations,White,Male,Generation Y/Millenials (1981-1996),False,True,Corporate Website,False,False,Development,P3,IT - Product Development - P3 QA,2.011,San Francisco,Individual Contributor,AMER,IT - Product Development,02-05 Years,108900,29.0
1.135,Above Compa-Ratio,AMER - Canada,Canada,3 - Meets Expectations,Hispanic,Male,Generation Y/Millenials (1981-1996),False,True,Corporate Website,False,False,Services,P4,Human Resources - Senior Human Resources Consultant,14.23,Toronto,Individual Contributor,AMER,Human Resources,10-15 Years,124900,37.0
1.363,Above Compa-Ratio,AMER - Canada,Canada,5 - Outstanding Performance,American Indian or Alaska Native,Female,Generation Y/Millenials (1981-1996),True,False,Recruiter,False,False,Development,P3,IT - Product Development - P3 Data Scientist,8.014,Toronto,Individual Contributor,AMER,IT - Product Development,05-10 Years,105600,33.0
1.539,Above Compa-Ratio,EMEA - France,France,2 - Needs Improvement,White,Male,Generation X (1965-1980),False,False,Internal,True,True,Executive,M8,Executive Management - Executive Vice President,15.129,Toulouse,Executive Vice President,EMEA,Executive Management,15+ Years,523200,56.0
1.312,Above Compa-Ratio,Global Support - Asia/Pac,South Korea,5 - Outstanding Performance,Asian,Male,Generation Y/Millenials (1981-1996),True,False,Internal,False,False,Finance,P3,FA - Accounting - P3 Accounting Settlement Specialist,4.427,Incheon,Individual Contributor,APAC,FA - Accounting,02-05 Years,71200,33.0
0.843,Below Compa-Ratio,EMEA - France,France,3 - Meets Expectations,White,Male,Generation Z (1997 and onwards),False,False,Corporate Website,False,False,Finance,P2,FA - Accounting - P2 Finance Analyst,3.896,Paris,Individual Contributor,EMEA,FA - Accounting,02-05 Years,45500,26.0
1.191,Above Compa-Ratio,EMEA - United Kingdom,United Kingdom,5 - Outstanding Performance,White,Male,Generation Y/Millenials (1981-1996),True,True,Referral,False,False,Sales,P4,Sales - Direct Sales - Senior Direct Sales Representative,9.529,London,Individual Contributor,EMEA,Sales - Direct Sales,05-10 Years,104800,35.0
1.51,Above Compa-Ratio,AMER - Canada,Canada,1 - Unsatisfactory,Asian,Male,Baby Boomers (1946-1964),False,False,Linkedin,False,False,Sales,P5,Sales - Inside Sales - Principal Inside Sales Representative,37.321,Toronto,Individual Contributor,AMER,Sales - Inside Sales,15+ Years,230200,63.0
1.25,Above Compa-Ratio,AMER - United States of America,United States of America,4 - Exceeds Expectations,American Indian or Alaska Native,Male,Generation Y/Millenials (1981-1996),False,False,Referral,False,False,Development,P3,IT - Product Development - P3 Data Scientist,1.66,New York,Individual Contributor,AMER,IT - Product Development,01-02 Years,96900,31.0
0.913,Below Compa-Ratio,AMER - United States of America,United States of America,5 - Outstanding Performance,White,Female,Generation Z (1997 and onwards),True,False,Linkedin,False,False,Development,P2,IT - Product Development - P2 Data Scientist,0.071,San Francisco,Individual Contributor,AMER,IT - Product Development,00-01 Years,61600,25.0
0.799,Below Compa-Ratio,EMEA - France,France,1 - Unsatisfactory,White,Female,Baby Boomers (1946-1964),False,True,Corporate Website,False,True,Sales,M2,Sales - Management - Associate Manager,29.57,Marseille,Manager,EMEA,Sales - Management,15+ Years,110200,62.0
0.853,Below Compa-Ratio,AMER - Canada,Canada,3 - Meets Expectations,American Indian or Alaska Native,Female,Generation Y/Millenials (1981-1996),False,False,Internal,False,False,Development,P2,IT - Product Development - P2 QA,3.359,Toronto,Individual Contributor,AMER,IT - Product Development,02-05 Years,57600,27.0
1.09,Above Compa-Ratio,AMER - United States of America,United States of America,5 - Outstanding Performance,Asian,Female,Generation Y/Millenials (1981-1996),True,False,Referral,False,False,Sales,P4,Sales - Inside Sales - Senior Inside Sales Representative,7.079,San Francisco,Individual Contributor,AMER,Sales - Inside Sales,05-10 Years,119900,35.0
1.111,Above Compa-Ratio,Global Support - Asia/Pac,South Korea,3 - Meets Expectations,Asian,Female,Generation X (1965-1980),False,False,Referral,False,True,Development,M4,IT - Product Management - Senior Manager,21.786,Seoul,Manager,APAC,IT - Product Management,15+ Years,153600,47.0
1.26,Above Compa-Ratio,Global Support - Asia/Pac,South Korea,1 - Unsatisfactory,Asian,Female,Generation Y/Millenials (1981-1996),False,False,Corporate Website,False,False,Development,P4,IT - Product Development - Senior QA,5.145,Seoul,Individual Contributor,APAC,IT - Product Development,05-10 Years,97000,36.0
1.094,Above Compa-Ratio,AMER - Canada,Canada,4 - Exceeds Expectations,Asian,Male,Generation Y/Millenials (1981-1996),False,False,Recruiter,False,False,Development,P3,IT - Product Development - P3 Data Scientist,4.337,Toronto,Individual Contributor,AMER,IT - Product Development,02-05 Years,84800,30.0
0.952,At Compa-Ratio,AMER - United States of America,United States of America,1 - Unsatisfactory,Asian,Female,Baby Boomers (1946-1964),False,False,Referral,False,True,Finance,M3,FA - Management - Manager,20.03,San Francisco,Manager,AMER,FA - Management,15+ Years,173800,62.0
1.191,Above Compa-Ratio,AMER - United States of America,United States of America,5 - Outstanding Performance,American Indian or Alaska Native,Female,Generation X (1965-1980),True,True,Internal,False,False,Sales,P5,Sales - Inside Sales - Principal Inside Sales Representative,26.732,San Francisco,Individual Contributor,AMER,Sales - Inside Sales,15+ Years,181700,49.0
1.335,Above Compa-Ratio,EMEA - France,France,1 - Unsatisfactory,White,Male,Generation Y/Millenials (1981-1996),False,False,Referral,False,False,Sales,P3,Sales - Inside Sales - P3 Inside Sales Representative,7.803,Marseille,Individual Contributor,EMEA,Sales - Inside Sales,05-10 Years,82800,29.0
0.898,Below Compa-Ratio,AMER - Canada,Canada,1 - Unsatisfactory,White,Female,Generation Y/Millenials (1981-1996),False,False,Corporate Website,False,False,Sales,P2,Sales - Inside Sales - P2 Inside Sales Representative,0.203,Toronto,Individual Contributor,AMER,Sales - Inside Sales,00-01 Years,60600,27.0
1.258,Above Compa-Ratio,AMER - Canada,Canada,2 - Needs Improvement,Asian,Male,Baby Boomers (1946-1964),False,False,Linkedin,False,False,Sales,P5,Sales - Direct Sales - Principal Direct Sales Representative,2.562,Montreal,Individual Contributor,AMER,Sales - Direct Sales,02-05 Years,191900,63.0
0.649,Below Compa-Ratio,Global Support - Asia/Pac,Singapore,4 - Exceeds Expectations,Asian,Female,Generation Z (1997 and onwards),False,False,Agency,False,False,Sales,P1,Sales - Direct Sales - P1 Direct Sales Representative,2.425,Singapore,Individual Contributor,APAC,Sales - Direct Sales,02-05 Years,25000,23.0
1.403,Above Compa-Ratio,EMEA - France,France,5 - Outstanding Performance,White,Male,Generation Y/Millenials (1981-1996),True,False,Internal,False,False,Development,P3,IT - Product Development - P3 Business Analytics,4.208,Toulouse,Individual Contributor,EMEA,IT - Product Development,02-05 Years,87000,30.0
1.346,Above Compa-Ratio,AMER - Canada,Canada,1 - Unsatisfactory,Hispanic,Male,Generation Y/Millenials (1981-1996),False,False,Referral,False,False,Services,P4,Human Resources - Senior Human Resources Analyst,12.123,Calgary,Individual Contributor,AMER,Human Resources,10-15 Years,148100,34.0
1.31,Above Compa-Ratio,AMER - Canada,Canada,1 - Unsatisfactory,White,Female,Generation Y/Millenials (1981-1996),False,False,Referral,False,False,Development,P4,IT - Product Development - Senior Software Engineer,2.978,Toronto,Individual Contributor,AMER,IT - Product Development,02-05 Years,144100,35.0
1.459,Above Compa-Ratio,AMER - Canada,Canada,2 - Needs Improvement,Hispanic,Female,Generation Y/Millenials (1981-1996),False,False,Linkedin,False,False,Sales,P4,Sales - Inside Sales - Senior Inside Sales Representative,14.589,Montreal,Individual Contributor,AMER,Sales - Inside Sales,10-15 Years,160500,36.0
1.477,Above Compa-Ratio,EMEA - United Kingdom,United Kingdom,5 - Outstanding Performance,White,Male,Generation X (1965-1980),True,False,Referral,False,False,Executive,P5,Board Management - Principal Board Associate,12.542,London,Vice President,EMEA,Board Management,10-15 Years,180200,49.0
1.257,Above Compa-Ratio,Global Support - Asia/Pac,Singapore,3 - Meets Expectations,Asian,Male,Generation Y/Millenials (1981-1996),False,False,Agency,False,False,Executive,P5,Board Management - Principal Board Associate,7.312,Singapore,Vice President,APAC,Board Management,05-10 Years,134200,40.0
1.052,Above Compa-Ratio,AMER - United States of America,United States of America,2 - Needs Improvement,Hispanic,Male,Generation Y/Millenials (1981-1996),False,True,Corporate Website,False,False,Sales,P3,Sales - Inside Sales - P3 Inside Sales Representative,7.186,San Francisco,Individual Contributor,AMER,Sales - Inside Sales,05-10 Years,81500,29.0
1.422,Above Compa-Ratio,AMER - United States of America,United States of America,3 - Meets Expectations,White,Male,Generation X (1965-1980),False,True,Linkedin,False,False,Executive,P5,Board Management - Principal Board Associate,13.504,San Francisco,Vice President,AMER,Board Management,10-15 Years,216900,54.0
1.203,Above Compa-Ratio,EMEA - United Kingdom,United Kingdom,2 - Needs Improvement,White,Female,Generation Y/Millenials (1981-1996),False,False,Corporate Website,False,False,Development,P3,IT - Product Development - P3 QA,0.562,London,Individual Contributor,EMEA,IT - Product Development,00-01 Years,74600,31.0
1.003,At Compa-Ratio,AMER - United States of America,United States of America,3 - Meets Expectations,Asian,Female,Generation Y/Millenials (1981-1996),False,False,Corporate Website,False,False,Services,P3,Human Resources - P3 Human Resources Consultant,9.482,San Francisco,Individual Contributor,AMER,Human Resources,05-10 Years,77700,32.0
1.083,Above Compa-Ratio,AMER - Canada,Canada,2 - Needs Improvement,Hispanic,Female,Generation Y/Millenials (1981-1996),False,False,Recruiter,False,False,Executive,P4,Board Management - Senior Board Associate,4.173,Toronto,Vice President,AMER,Board Management,02-05 Years,119100,34.0
1.184,Above Compa-Ratio,EMEA - France,France,5 - Outstanding Performance,White,Male,Generation Y/Millenials (1981-1996),True,False,Linkedin,False,False,Services,P4,Human Resources - Senior Human Resources Consultant,9.638,Marseille,Individual Contributor,EMEA,Human Resources,05-10 Years,104200,34.0
1.199,Above Compa-Ratio,EMEA - France,France,5 - Outstanding Performance,White,Male,Generation X (1965-1980),True,False,Linkedin,False,False,Sales,P5,Sales - Inside Sales - Principal Inside Sales Representative,22.397,Paris,Individual Contributor,EMEA,Sales - Inside Sales,15+ Years,146300,52.0
1.593,Above Compa-Ratio,Global Support - Asia/Pac,Singapore,4 - Exceeds Expectations,Asian,Female,Generation X (1965-1980),False,False,Recruiter,False,False,Finance,P5,FA - Accounting - Principal Finance Analyst,16.364,Singapore,Individual Contributor,APAC,FA - Accounting,15+ Years,170000,57.0
1.178,Above Compa-Ratio,EMEA - United Kingdom,United Kingdom,3 - Meets Expectations,White,Female,Generation Y/Millenials (1981-1996),False,False,Recruiter,False,False,Services,P4,Human Resources - Senior Human Resources Analyst,1.071,London,Individual Contributor,EMEA,Human Resources,01-02 Years,103700,36.0
0.983,At Compa-Ratio,EMEA - United Kingdom,United Kingdom,3 - Meets Expectations,White,Female,Generation Y/Millenials (1981-1996),False,True,Internal,False,False,Sales,P2,Sales - Direct Sales - P2 Direct Sales Representative,5.151,London,Individual Contributor,EMEA,Sales - Direct Sales,05-10 Years,53100,28.0
1.011,At Compa-Ratio,AMER - Canada,Canada,1 - Unsatisfactory,Hispanic,Female,Generation Y/Millenials (1981-1996),False,False,Recruiter,False,False,Executive,P4,Board Management - Senior Board Associate,0.093,Toronto,Vice President,AMER,Board Management,00-01 Years,111200,35.0
1.376,Above Compa-Ratio,AMER - Canada,Canada,4 - Exceeds Expectations,White,Male,Generation Y/Millenials (1981-1996),False,False,Agency,False,False,Executive,P4,Board Management - Senior Board Associate,12.03,Vancouver,Vice President,AMER,Board Management,10-15 Years,151400,34.0
0.953,At Compa-Ratio,EMEA - United Kingdom,United Kingdom,3 - Meets Expectations,White,Male,Generation Y/Millenials (1981-1996),False,False,Corporate Website,False,True,Development,M4,IT - Product Management - Senior Manager,1.173,London,Manager,EMEA,IT - Product Management,01-02 Years,150600,41.0
1.181,Above Compa-Ratio,AMER - Canada,Canada,5 - Outstanding Performance,Hispanic,Male,Generation Y/Millenials (1981-1996),True,False,Recruiter,False,False,Finance,P4,FA - Accounting - Senior Accounting Settlement Specialist,12.795,Toronto,Individual Contributor,AMER,FA - Accounting,10-15 Years,129900,34.0
1.466,Above Compa-Ratio,EMEA - United Kingdom,United Kingdom,2 - Needs Improvement,White,Female,Generation Y/Millenials (1981-1996),False,False,Internal,False,False,Executive,P4,Board Management - Senior Board Associate,11.551,London,Vice President,EMEA,Board Management,10-15 Years,129000,35.0
1.406,Above Compa-Ratio,EMEA - United Kingdom,United Kingdom,4 - Exceeds Expectations,White,Female,Generation Y/Millenials (1981-1996),False,False,Internal,False,False,Services,P3,Legal - Corporate - P3 Legal Consultant,0.244,London,Individual Contributor,EMEA,Legal - Corporate,00-01 Years,87200,31.0
1.256,Above Compa-Ratio,EMEA - United Kingdom,United Kingdom,4 - Exceeds Expectations,White,Male,Generation Y/Millenials (1981-1996),False,True,Agency,False,False,Executive,P4,Board Management - Senior Board Associate,10.132,London,Vice President,EMEA,Board Management,10-15 Years,110500,35.0
1.081,Above Compa-Ratio,Global Support - Asia/Pac,South Korea,2 - Needs Improvement,Asian,Male,Generation Y/Millenials (1981-1996),False,False,Corporate Website,False,True,Sales,M4,Sales - Management - Senior Manager,17.723,Seoul,Manager,APAC,Sales - Management,15+ Years,149500,39.0
1.074,Above Compa-Ratio,EMEA - France,France,4 - Exceeds Expectations,White,Male,Generation Y/Millenials (1981-1996),False,False,Referral,False,False,Development,P3,IT - Product Development - P3 Software Engineer,1.082,Paris,Individual Contributor,EMEA,IT - Product Development,01-02 Years,66600,30.0
0.896,Below Compa-Ratio,EMEA - France,France,5 - Outstanding Performance,White,Male,Generation Y/Millenials (1981-1996),True,False,Corporate Website,False,False,Development,P2,IT - Product Development - P2 Software Engineer,0.611,Paris,Individual Contributor,EMEA,IT - Product Development,00-01 Years,48400,28.0
1.625,Above Compa-Ratio,AMER - United States of America,United States of America,5 - Outstanding Performance,Hispanic,Female,Generation X (1965-1980),True,False,Referral,True,True,Executive,M8,Board Management - Executive Vice President,6.808,San Francisco,Executive Vice President,AMER,Board Management,05-10 Years,690800,48.0
